Date,Country,TEKs,Cases
2020-09-01,at,35,272
2020-09-01,ee,10,2
2020-09-01,es,46,23572
2020-09-01,fi,36,9
2020-09-01,ie,265,51
2020-09-01,it,48,996
2020-09-01,mt,32,21
2020-09-02,at,35,204
2020-09-02,ee,12,20
2020-09-02,es,52,8115
2020-09-02,fi,48,56
2020-09-02,ie,271,214
2020-09-02,it,43,975
2020-09-02,mt,34,26
2020-09-03,at,41,327
2020-09-03,ee,13,20
2020-09-03,es,51,8581
2020-09-03,fi,60,19
2020-09-03,ie,289,89
2020-09-03,it,37,1326
2020-09-04,at,37,403
2020-09-04,ee,14,26
2020-09-04,es,52,8959
2020-09-04,fi,66,39
2020-09-04,ie,304,92
2020-09-04,it,41,1397
2020-09-04,mt,32,34
2020-09-05,at,30,357
2020-09-05,ee,13,15
2020-09-05,es,56,10476
2020-09-05,fi,83,25
2020-09-05,ie,323,97
2020-09-05,it,46,1732
2020-09-05,mt,25,19
2020-09-06,at,32,358
2020-09-06,ee,11,35
2020-09-06,es,54,0
2020-09-06,fi,88,36
2020-09-06,ie,298,231
2020-09-06,it,47,1694
2020-09-06,mt,28,30
2020-09-06,nl,2,734
2020-09-07,at,39,184
2020-09-07,ee,8,25
2020-09-07,es,58,0
2020-09-07,fi,100,30
2020-09-07,ie,299,138
2020-09-07,it,46,1296
2020-09-07,mt,31,25
2020-09-07,nl,13,950
2020-09-08,at,45,290
2020-09-08,ee,7,16
2020-09-08,es,61,26560
2020-09-08,fi,89,36
2020-09-08,ie,340,102
2020-09-08,it,46,1150
2020-09-08,mt,37,37
2020-09-08,nl,9,845
2020-09-09,at,54,520
2020-09-09,ee,10,32
2020-09-09,es,60,8964
2020-09-09,fi,96,10
2020-09-09,ie,351,306
2020-09-09,it,46,1369
2020-09-09,mt,46,23
2020-09-09,nl,10,1087
2020-09-09,si,359,42
2020-09-10,at,65,502
2020-09-10,ee,10,21
2020-09-10,es,68,8866
2020-09-10,fi,105,93
2020-09-10,ie,393,84
2020-09-10,it,47,1430
2020-09-10,mt,50,63
2020-09-10,nl,8,1293
2020-09-10,si,367,80
2020-09-11,at,60,664
2020-09-11,ee,11,15
2020-09-11,es,75,10764
2020-09-11,fi,126,39
2020-09-11,ie,409,196
2020-09-11,it,40,1597
2020-09-11,nl,15,927
2020-09-11,si,360,77
2020-09-12,at,72,580
2020-09-12,ee,11,32
2020-09-12,es,67,12183
2020-09-12,fi,141,43
2020-09-12,ie,448,211
2020-09-12,it,41,1616
2020-09-12,nl,16,1354
2020-09-12,si,360,108
2020-09-13,at,92,869
2020-09-13,ee,7,23
2020-09-13,es,75,0
2020-09-13,fi,155,45
2020-09-13,ie,474,159
2020-09-13,it,45,1501
2020-09-13,nl,35,1339
2020-09-13,si,369,106
2020-09-14,at,101,463
2020-09-14,ee,6,21
2020-09-14,es,73,0
2020-09-14,fi,158,23
2020-09-14,ie,518,255
2020-09-14,it,40,1456
2020-09-14,nl,31,1167
2020-09-14,si,363,99
2020-09-15,at,94,382
2020-09-15,ee,8,22
2020-09-15,es,82,27404
2020-09-15,fi,181,47
2020-09-15,ie,569,207
2020-09-15,it,34,1008
2020-09-15,nl,28,1318
2020-09-15,si,371,47
2020-09-16,at,93,764
2020-09-16,de,95,1792
2020-09-16,ee,9,24
2020-09-16,es,119,9437
2020-09-16,fi,184,98
2020-09-16,ie,616,357
2020-09-16,it,31,1229
2020-09-16,nl,38,1479
2020-09-16,si,368,82
2020-09-17,at,112,768
2020-09-17,cz,12,2136
2020-09-17,de,137,1855
2020-09-17,ee,11,34
2020-09-17,es,139,11193
2020-09-17,fi,216,25
2020-09-17,ie,691,250
2020-09-17,it,29,1452
2020-09-17,nl,40,1749
2020-09-17,si,354,123
2020-09-18,at,102,780
2020-09-18,cz,99,3123
2020-09-18,de,127,2179
2020-09-18,ee,13,22
2020-09-18,es,165,11291
2020-09-18,fi,226,49
2020-09-18,ie,754,224
2020-09-18,it,27,1583
2020-09-18,mt,100,35
2020-09-18,nl,60,1833
2020-09-18,si,327,104
2020-09-19,at,126,808
2020-09-19,cz,131,2107
2020-09-19,de,249,2199
2020-09-19,ee,12,36
2020-09-19,es,203,14389
2020-09-19,fi,223,59
2020-09-19,ie,800,248
2020-09-19,it,34,1907
2020-09-19,nl,67,2079
2020-09-19,si,327,137
2020-09-20,at,138,813
2020-09-20,cz,135,2044
2020-09-20,de,279,1685
2020-09-20,ee,13,61
2020-09-20,es,218,0
2020-09-20,fi,241,64
2020-09-20,ie,896,267
2020-09-20,it,39,1637
2020-09-20,nl,48,1916
2020-09-20,si,315,114
2020-09-21,at,148,621
2020-09-21,cz,196,984
2020-09-21,de,266,1033
2020-09-21,ee,18,49
2020-09-21,es,268,0
2020-09-21,fi,225,58
2020-09-21,ie,986,395
2020-09-21,it,35,1587
2020-09-21,nl,60,1956
2020-09-21,si,305,111
2020-09-22,at,144,563
2020-09-22,cz,218,1474
2020-09-22,de,271,1595
2020-09-22,ee,17,17
2020-09-22,es,282,31428
2020-09-22,fi,216,66
2020-09-22,ie,1051,188
2020-09-22,it,28,1350
2020-09-22,nl,44,2274
2020-09-22,si,280,50
2020-09-23,at,128,645
2020-09-23,cz,275,2394
2020-09-23,de,274,1852
2020-09-23,ee,15,35
2020-09-23,es,296,10799
2020-09-23,fi,213,149
2020-09-23,ie,1122,323
2020-09-23,it,30,1391
2020-09-23,nl,50,2335
2020-09-23,si,238,88
2020-09-24,at,136,681
2020-09-24,cz,541,2306
2020-09-24,de,263,1613
2020-09-24,ee,13,57
2020-09-24,es,286,11289
2020-09-24,fi,217,93
2020-09-24,ie,1238,231
2020-09-24,it,31,1640
2020-09-24,nl,64,2445
2020-09-24,pl,174,974
2020-09-24,pt,57,802
2020-09-24,si,241,136
2020-09-25,at,115,832
2020-09-25,cz,724,2910
2020-09-25,de,251,2321
2020-09-25,ee,8,43
2020-09-25,es,284,10653
2020-09-25,fi,255,91
2020-09-25,ie,1307,319
2020-09-25,it,27,1786
2020-09-25,nl,58,2595
2020-09-25,pl,224,1136
2020-09-25,si,239,122
2020-09-26,at,132,684
2020-09-26,cz,1435,2944
2020-09-26,de,161,2366
2020-09-26,ee,10,42
2020-09-26,es,339,12272
2020-09-26,fi,291,105
2020-09-26,ie,1409,321
2020-09-26,it,31,1912
2020-09-26,nl,61,2843
2020-09-26,pl,249,1587
2020-09-26,si,304,191
2020-09-27,at,131,714
2020-09-27,cz,3181,1976
2020-09-27,de,290,1314
2020-09-27,ee,12,47
2020-09-27,es,315,0
2020-09-27,fi,330,93
2020-09-27,ie,1511,245
2020-09-27,it,43,1869
2020-09-27,nl,55,2760
2020-09-27,pl,248,1584
2020-09-28,at,158,662
2020-09-28,cz,5068,1303
2020-09-28,de,632,1313
2020-09-28,ee,10,35
2020-09-28,es,269,0
2020-09-28,fi,390,105
2020-09-28,ie,1653,430
2020-09-28,it,49,1766
2020-09-28,nl,37,5351
2020-09-28,pl,140,1350
2020-09-28,si,457,159
2020-09-29,at,143,556
2020-09-29,cz,7186,1286
2020-09-29,de,686,2292
2020-09-29,ee,10,67
2020-09-29,es,265,31785
2020-09-29,fi,431,61
2020-09-29,ie,1745,387
2020-09-29,it,56,1494
2020-09-29,nl,41,637
2020-09-29,pl,237,1306
2020-09-29,si,536,38
2020-09-30,at,151,609
2020-09-30,cz,9439,1960
2020-09-30,de,945,1840
2020-09-30,ee,9,48
2020-09-30,es,294,0
2020-09-30,fi,479,149
2020-09-30,ie,1855,363
2020-09-30,it,73,1647
2020-09-30,nl,89,3093
2020-09-30,pl,420,1326
2020-09-30,si,619,99
2020-10-01,at,128,772
2020-10-01,cz,11891,1076
2020-10-01,de,720,2442
2020-10-01,ee,8,56
2020-10-01,es,317,20922
